key,originalName,tags
JOR-632B77728443-343B74111669-X-249318,Ḩakamā,"{'name': 'مرو', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-249318,Ḩakamā,"{'name': 'حكما', 'place': 'village'}"
JOR-632B98972752-343B93869049-X-247263,Umm an Na‘ām ash Sharqīyah,"{'int_name': 'Rujm Sab‘;Rujm Sab', 'is_in': 'Jordan, الأردن', 'name': 'رجم السبع', 'name:ar': 'رجم السبع', 'name:de': ""Rujm Sabe'"", 'name:en': ""Rujm Sabe'"", 'name:fr': 'Rujm Sabe', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'int_name': 'El Jasūra; Al Jasura', 'is_in': 'Jordan, الأردن', 'name': 'الجسورة', 'name:ar': 'الجسورة', 'name:de': 'Al Jasura', 'name:en': 'Al Jasura', 'name:fr': 'Al Jasura', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'int_name': 'Khirbat Shaykh ‘Ulayyān; Khirbat Shaykh Ulayyan; Khirbat Sheikh Ulaiyan', 'is_in': 'Jordan, الأردن', 'name': 'خربة شيخ عليان', 'name:ar': 'خربة شيخ عليان', 'name:de': 'Khirbat Shaykh Ulayyan', 'name:en': 'Khirbat Shaykh Ulayyan', 'name:fr': 'Khirbat Shaykh Ulayyan', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'int_name': 'Qilā‘āt; Qilaat', 'is_in': 'Jordan, الأردن', 'name': 'قلاعات', 'name:ar': 'قلاعات', 'name:de': 'Qilaat', 'name:en': 'Qilaat', 'name:fr': 'Qilaat', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'name': 'تل الاربعين', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'name': 'الشيخ حسين قرية', 'place': 'village'}"
JOR-632B77728443-343B42604954-X-245844,Zūbiyā,"{'int_name': 'Zūbiyā; Zubiya', 'is_in': 'Jordan, الأردن', 'name': 'زوبيا', 'name:ar': 'زوبيا', 'name:de': 'Zubiya', 'name:en': 'Zubiya', 'name:fr': 'Zubiya', 'place': 'village'}"
JOR-632B77728443-343B93615180-X-248719,Kafr Sawm,"{'int_name': 'Kufr as Sawm; Kufr al Sawm; Kufr Som', 'is_in': 'Jordan, الأردن', 'name': 'كفر سوم', 'name:ar': 'كفر سوم', 'name:de': 'Kufr al Sawm', 'name:en': 'Kufr al Sawm', 'name:fr': 'Kufr al Sawm', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-11208950,Ḩayy al Maydān,"{'int_name': 'As Salţ; Al Salt; Ramoth Gilad', 'is_in': 'Jordan, الأردن', 'name': 'السلط', 'name:ar': 'السلط', 'name:de': 'Al Salt', 'name:en': 'Al Salt', 'name:fr': 'Al Salt', 'name:he': 'סלט', 'name:ml': 'സൽറ്റ്', 'name:ru': 'Ас-Сальт', 'place': 'town', 'wikidata': 'Q867586', 'wikipedia': 'en:As-Salt'}"
JOR-632B77728443-343B93615180-X-247103,Saḩam al Kaffārāt,"{'name': 'الشعلة', 'place': 'village'}"
JOR-632B67270147-343B73128454-X-7015813,Tall Burmā,"{'int_name': 'Al Ḩusaynīyah; Al Husayniyah', 'is_in': 'Jordan, الأردن', 'name': 'الحسينية', 'name:ar': 'الحسينية', 'name:de': 'Al Husayniyah', 'name:en': 'Al Husayniyah', 'name:fr': 'Al Husayniyah', 'place': 'village'}"
JOR-632B67270147-343B73128454-X-7015792,Ad Da‘jāniyah,"{'int_name': 'Al Fujayj', 'is_in': 'Jordan, الأردن', 'name': 'الفجيج', 'name:ar': 'الفجيج', 'name:de': 'Al Fujayj', 'name:en': 'Al Fujayj', 'name:fr': 'Al Fujayj', 'place': 'village'}"
JOR-632B67270147-343B73128454-X-7015792,Ad Da‘jāniyah,"{'int_name': ""Ad Da'ajanya; Al Daajaniya; Daajaniya"", 'is_in': 'Jordan, الأردن', 'name': 'الدعجانية', 'name:ar': 'الدعجانية', 'name:de': 'Daajaniya', 'name:en': 'Daajaniya', 'name:fr': 'Daajaniya', 'place': 'village'}"
JOR-632B67270147-343B73128454-X-7015792,Ad Da‘jāniyah,"{'int_name': 'Ḩadīrā; Hadira', 'is_in': 'Jordan, الأردن', 'name': 'حديرا', 'name:ar': 'حديرا', 'name:de': 'Hadira', 'name:en': 'Hadira', 'name:fr': 'Hadira', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-248780,Jumḩah,"{'name': 'كفر عان', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-248780,Jumḩah,"{'name': 'قرية جمحا', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-248959,‘Īrā,"{'name': 'عيرا', 'place': 'village'}"
JOR-632B68275430-343B93634177-X-11241755,Ḩayy al Madrasah,"{'name': 'ماعين', 'name:ar': 'ماعين', 'name:en': ""Ma'in"", 'place': 'village', 'wikidata': 'Q12238281', 'wikipedia': 'ar:ماعين'}"
JOR-632B68275430-343B11419780-X-11262072,Adh Dhuhaybah al Gharbīyah,"{'name': 'الذهبية الغربية', 'name:fr': 'Dhuheibah Al Gharbiyah', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-245915,Zaḩar,"{'int_name': 'Zaḩar; Zahar', 'is_in': 'Jordan, الأردن', 'name': 'زهر', 'name:ar': 'زحر', 'name:de': 'Zahar', 'name:en': 'Zahar', 'name:fr': 'Zahar', 'place': 'village'}"
JOR-632B77728443-343B42604954-X-11129594,Al Musajjilānīyah,"{'name': 'عنبه', 'place': 'village'}"
JOR-632B98972752-343B91729633-X-10861647,Al Jubayyah,"{'int_name': 'Deir el Kahf', 'is_in': 'Jordan, الأردن', 'name': 'دير الكهف', 'name:ar': 'دير الكهف', 'name:de': 'Deir al Kahf', 'name:en': 'Deir al Kahf', 'name:fr': 'Deir al Kahf', 'place': 'village'}"
JOR-632B97166968-343B52005080-X-250656,Al Ifranj,"{'int_name': 'Ifranj', 'is_in': 'Jordan, الأردن', 'name': 'الإفرنج', 'name:ar': 'الإفرنج', 'name:de': 'Ifranj', 'name:en': 'Ifranj', 'name:fr': 'Ifranj', 'place': 'village'}"
JOR-632B77728443-343B42604954-X-249379,Ḩabakā,"{'name': 'حوفا المزار', 'place': 'village'}"
JOR-632B77728443-343B42604954-X-249379,Ḩabakā,"{'name': 'حبكا', 'place': 'village'}"
JOR-632B11138086-343B46800022-X-246211,Umm Nuwwārah,"{'int_name': 'Umm Nuwwārah; Um Nuwwarah', 'is_in': 'Jordan, الأردن', 'name': 'أم نوارة', 'name:ar': 'أم نوارة', 'name:de': 'Um Nuwwarah', 'name:en': 'Um Nuwwarah', 'name:fr': 'Um Nuwwarah', 'place': 'village'}"
JOR-632B11138086-343B46800022-X-246211,Umm Nuwwārah,"{'int_name': 'Al Başşah; Al Bassah; Al Bassa', 'is_in': 'Jordan, الأردن', 'name': 'البصة', 'name:ar': 'البصة', 'name:de': 'Al Bassah', 'name:en': 'Al Bassah', 'name:fr': 'Al Bassah', 'place': 'village'}"
JOR-632B11138086-343B46800022-X-246211,Umm Nuwwārah,"{'name': 'البصة', 'name:en': 'Al-Bassah', 'name:fr': 'Al Bassah', 'name:nn': 'Al Bassah', 'name:sq': 'Al Bassah', 'place': 'village', 'wikidata': 'Q759489', 'wikipedia': 'ar:البصة (الأردن)'}"
JOR-632B11138086-343B46800022-X-246211,Umm Nuwwārah,"{'name': 'ابو السوس', 'name:en': 'Abu al-Sous', 'name:fr': 'Abu al-Sous', 'place': 'village', 'wikidata': 'Q35183413'}"
JOR-632B67270147-343B92100815-X-7015875,Al Qāsimīyah,"{'int_name': 'Al Qasamiya; Qasamiya', 'is_in': 'Jordan, الأردن', 'name': 'القاسمية', 'name:ar': 'القاسمية', 'name:de': 'Qasamiya', 'name:en': 'Qasamiya', 'name:fr': 'Qasamiya', 'place': 'village'}"
JOR-632B67270147-343B21339030-X-7015818,Al Muthallath,"{'int_name': 'Al-Muthallith', 'name': 'المثلث', 'name:ar': 'المثلث', 'name:de': 'Al-Muthallith', 'name:en': 'Al-Muthallith', 'name:fr': 'Al-Muthallith', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-11129560,Al Qarn,"{'int_name': 'Suleikhāt;Suleikhat', 'is_in': 'Jordan, الأردن', 'name': 'السليخات', 'name:ar': 'السليخات', 'name:de': 'Suleikhat', 'name:en': 'Suleikhat', 'name:fr': 'Suleikhat', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-11129560,Al Qarn,"{'name': 'سليخات', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-11129560,Al Qarn,"{'name': 'حجيجة', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-11129560,Al Qarn,"{'name': 'القرن', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-11265457,Al Kāshif,"{'int_name': 'Māḩiş; Mahis', 'is_in': 'Jordan, الأردن', 'name': 'ماحص', 'name:ar': 'ماحص', 'name:de': 'Mahis', 'name:en': 'Mahis', 'name:fr': 'Mahis', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-11265457,Al Kāshif,"{'name': 'زبدا', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-11265457,Al Kāshif,"{'name': 'الهوايات', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-11265457,Al Kāshif,"{'name': 'الميدات', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-11265457,Al Kāshif,"{'name': 'الجبيل', 'name:fr': 'Jubail', 'place': 'village', 'wikidata': 'Q33776204'}"
JOR-632B82459032-343B14456177-X-11265457,Al Kāshif,"{'name': 'البجيع', 'place': 'village'}"
JOR-632B82459032-343B17003955-X-250184,Aţ Ţiwāl al Janūbī,"{'int_name': 'Hasan el Falāh; Hasan al Falah', 'is_in': 'Jordan, الأردن', 'name': 'حسن الفلاح', 'name:ar': 'حسن الفلاح', 'name:de': 'Hasan al Falah', 'name:en': 'Hasan al Falah', 'name:fr': 'Hasan al Falah', 'place': 'village'}"
JOR-632B82459032-343B17003955-X-250184,Aţ Ţiwāl al Janūbī,"{'int_name': 'Sulaymān an Nāşir; Sulayman al Nasir; Suleiman al Nasir', 'is_in': 'Jordan, الأردن', 'name': 'سليمان الناصر', 'name:ar': 'سليمان الناصر', 'name:de': 'Sulayman al Nasir', 'name:en': 'Sulayman al Nasir', 'name:fr': 'Sulayman al Nasir', 'place': 'village'}"
JOR-632B97166968-343B76118434-X-250569,Al Manshīyah al Mazzār,"{'is_in': 'Jordan, الأردن', 'name': 'منشية المزار', 'name:ar': 'منشية المزار', 'place': 'village'}"
JOR-632B97166968-343B52005080-X-248079,Middīn,"{'int_name': 'Meddin; Middin', 'is_in': 'Jordan, الأردن', 'name': 'مدين', 'name:ar': 'مدين', 'name:de': 'Meddin', 'name:en': 'Meddin', 'name:fr': 'Meddin', 'place': 'village'}"
JOR-632B97166968-343B52005080-X-248079,Middīn,"{'name': 'مرود', 'place': 'village'}"
JOR-632B98972752-343B92270189-X-250475,Al Khālidīyah ash Sharqīyah,"{'name': 'الخالدية', 'name:fr': 'Khaldiyah', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-248932,Is‘arah,"{'name': 'فوعرا', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-248932,Is‘arah,"{'name': 'اسعرة', 'name:en': 'Asaara', 'name:fr': 'Asaara', 'place': 'village', 'wikidata': 'Q33775308'}"
JOR-632B77728443-343B81730944-X-11129614,Umm al Khabāyiş,"{'int_name': 'Makhrabā; Makhraba', 'is_in': 'Jordan, الأردن', 'name': 'مخربا', 'name:ar': 'مخربا', 'name:de': 'Makhraba', 'name:en': 'Makhraba', 'name:fr': 'Makhraba', 'place': 'village'}"
JOR-632B81527021-343B72336194-X-7015859,Al Burbayţah,"{'name': 'البربيطة', 'name:fr': 'Al Barbita', 'place': 'village', 'wikidata': 'Q33766174'}"
JOR-632B77728443-343B93615180-X-251051,Abū al Lawqas,"{'name': 'ابو اللوقس', 'name:fr': 'Abu Luqus', 'place': 'village', 'wikidata': 'Q20383737'}"
JOR-632B97166968-343B52005080-X-12141342,Al Ghuwayţah,"{'int_name': 'Muḩayy; Muhayy', 'is_in': 'Jordan, الأردن', 'name': 'محي', 'name:ar': 'محي', 'name:de': 'Muhayy', 'name:en': 'Muhayy', 'name:fr': 'Muhayy', 'place': 'village'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'int_name': 'Bāyir; Bayir', 'is_in': 'Jordan, الأردن', 'name': 'بائر', 'name:ar': 'بائر', 'name:de': 'Bayir', 'name:en': 'Bayir', 'name:fr': 'Bayir', 'place': 'village'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPLL', 'GNS:dsg_name': 'populated locality', 'GNS:id': '180867', 'int_name': 'Al Jifayrāt', 'name': 'الجفيرات', 'name:ar': 'الجفيرات', 'name:de': 'Al Jifayrat', 'name:en': 'Al Jifayrat', 'name:fr': 'Al Jifayrat', 'place': 'hamlet'}"
